Country,ISO-3,Income,WHO region,WB region,National NCD targets,Mortality data,Risk factor surveys,National action plan,Tobacco tax,Smoke-free places,Graphic warnings,Tobacco advertising bans,Alcohol sale restrictions,Alcohol advertising bans,Alcohol tax,Salt policies,Fat policies,Child food marketing,Breast milk code,Physical activity mass media,Clinical guidelines,Cardiovascular therapies,Total
Syrian Arab Republic,SYR,Low income,EMRO,Middle East & North Africa,0,0.5,0,0,ND,0.5,0,0.5,0.5,0.5,0.5,0,0,0,DK,0,0,0,3
Tajikistan,TJK,Low income,EURO,Europe & Central Asia,1,0.5,0.5,1,0,0,0,0.5,0.5,0,1,1,1,1,0,1,1,0,10
Thailand,THA,Upper middle income,SEARO,East Asia & Pacific,1,0.5,1,0,0.5,1,1,0.5,1,1,0.5,0,0,0,-,1,1,0,10
Timor-Leste,TLS,Lower middle income,SEARO,East Asia & Pacific,1,0,0.5,0,0,0,0,0,0.5,0,0.5,DK,DK,1,DK,1,0,DK,4.5
Togo,TGO,Low income,AFRO,Sub-Saharan Africa,1,0,0.5,1,0,0.5,0.5,1,0.5,0,1,0,0,0,0,1,0.5,0,7.5
Tonga,TON,Upper middle income,WPRO,East Asia & Pacific,1,0,0.5,0.5,0.5,0,0.5,0.5,1,0,0.5,0,-,-,0,1,0.5,0,6.5
Trinidad and Tobago,TTO,High income,PAHO,Latin America & Caribbean,ND,1,ND,ND,0,1,1,0,1,0.5,0.5,ND,ND,ND,ND,ND,ND,ND,5
Tunisia,TUN,Lower middle income,EMRO,Middle East & North Africa,0,0.5,0.5,0,0.5,0,0,0.5,1,1,0.5,-,1,0,1,1,ND,ND,7.5
Turkey,TUR,Upper middle income,EURO,Europe & Central Asia,1,0.5,1,0,0.5,1,1,1,0.5,0.5,0.5,1,0,0,0,1,0,DK,9.5
Turkmenistan,TKM,Upper middle income,EURO,Europe & Central Asia,0,0.5,0.5,1,0,1,1,0.5,0.5,1,0.5,1,0,0,1,1,1,0.5,11
Tuvalu,TUV,Upper middle income,WPRO,East Asia & Pacific,1,0,0.5,0,0,0.5,0.5,1,1,0.5,1,1,0,0,DK,1,0.5,0,8.5
Uganda,UGA,Low income,AFRO,Sub-Saharan Africa,-,0,0.5,0,0,0.5,0.5,0,0.5,0,0.5,0,0,0,-,1,-,0,3.5
Ukraine,UKR,Lower middle income,EURO,Europe & Central Asia,0,1,0,0,0.5,0.5,1,0.5,0.5,0.5,0.5,0,0,0,1,0,1,0.5,7.5
United Arab Emirates,ARE,High income,EMRO,Middle East & North Africa,0.5,0.5,0.5,0.5,0,0.5,0.5,1,ND,ND,ND,1,DK,1,1,1,0.5,0.5,9
United Kingdom,GBR,High income,EURO,Europe & Central Asia,0,1,1,1,0.5,1,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,14.5
United Republic of Tanzania,TZA,Low income,AFRO,Sub-Saharan Africa,ND,0,ND,ND,0,0,0,0.5,0.5,0,0.5,ND,ND,ND,ND,ND,ND,ND,1.5
United States of America,USA,High income,PAHO,North America,1,1,1,1,0,0,0.5,0,0.5,0.5,0.5,1,1,0,0,1,0.5,DK,9.5
Uruguay,URY,High income,PAHO,Latin America & Caribbean,0,1,1,0,0,1,1,1,0.5,0,0,1,0,1,1,DK,0,1,9.5
Uzbekistan,UZB,Lower middle income,EURO,Europe & Central Asia,1,1,0.5,0,0,0,0.5,0.5,0.5,1,ND,1,1,0,1,1,0.5,0,9.5
Vanuatu,VUT,Lower middle income,WPRO,East Asia & Pacific,0,0,0.5,0,0,0,1,1,ND,ND,ND,0,0,-,0,-,0.5,0,3
Venezuela,VEN,Upper middle income,PAHO,Latin America & Caribbean,ND,1,ND,ND,0.5,1,1,0,1,0.5,1,ND,ND,ND,ND,ND,ND,ND,6
Viet Nam,VNM,Lower middle income,WPRO,East Asia & Pacific,1,0,0.5,1,0,0.5,1,0.5,0.5,0.5,0.5,0,0,0,1,1,0.5,0,8.5
Yemen,YEM,Low income,EMRO,Middle East & North Africa,0,0,0,0,0,0.5,0.5,1,1,1,1,0,0,0,-,0,0,0,5
Zambia,ZMB,Lower middle income,AFRO,Sub-Saharan Africa,1,0,0.5,1,0,0.5,0,0,0.5,0.5,0.5,-,0,-,-,0,1,0,5.5
Zimbabwe,ZWE,Lower middle income,AFRO,Sub-Saharan Africa,0,0,0.5,0,0,0.5,0,0,0.5,0.5,1,0,0,0,1,1,0,0,5
