Country,ISO-3,Income,WHO region,WB region,National NCD targets,Mortality data,Risk factor surveys,National action plan,Tobacco tax,Smoke-free places,Graphic warnings,Tobacco advertising bans,Tobacco mass media,Alcohol sale restrictions,Alcohol advertising bans,Alcohol tax,Salt policies,Fat policies,Child food marketing,Breast milk code,Physical activity mass media,Clinical guidelines,Cardiovascular therapies,Total
Sri Lanka,LKA,Upper middle income,SEARO,South Asia,1,0,1,1,0.5,0.5,1,0.5,NR,1,1,0.5,1,0,1,1,0,1,1,13
Sudan,SDN,Lower middle income,EMRO,Sub-Saharan Africa,1,0,1,0.5,0.5,0,0,0.5,0,1,1,1,0,0,0,0.5,0,1,0,8
Suriname,SUR,Upper middle income,PAHO,Latin America & Caribbean,1,0.5,0.5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0.5,DK,7.5
Sweden,SWE,High income,EURO,Europe & Central Asia,0,1,0.5,0,0.5,0,1,0.5,0,0.5,1,0.5,0.5,1,1,0.5,1,1,1,11.5
Switzerland,CHE,High income,EURO,Europe & Central Asia,0,1,0.5,0,0.5,0,0.5,0,1,0,1,0,0.5,1,1,0.5,1,1,1,10.5
Syrian Arab Republic,SYR,Low income,EMRO,Middle East & North Africa,0,0,0.5,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0.5,4
Tajikistan,TJK,Low income,EURO,Europe & Central Asia,1,0.5,1,1,0,1,0.5,0.5,0,0.5,0.5,0.5,0,0,1,0.5,0,1,0,9.5
Thailand,THA,Upper middle income,SEARO,East Asia & Pacific,1,0.5,0.5,1,1,1,1,0.5,0.5,1,1,0,1,0.5,1,0.5,1,1,1,15
Timor Leste,TLS,Lower middle income,SEARO,East Asia & Pacific,1,0,0.5,1,0,0.5,1,0.5,1,0.5,0,0.5,0.5,1,0,0,0,1,0,9
Togo,TGO,Low income,AFRO,Sub-Saharan Africa,1,0,0.5,0,0,0.5,0.5,1,1,0.5,0,0.5,0,0,0,0,0,0.5,0,6
Tonga ,TON,Upper middle income,WPRO,East Asia & Pacific,1,0,1,1,0.5,0.5,0.5,0.5,1,1,0,0.5,0,0,0,0,1,1,1,10.5
Trinidad and Tobago,TTO,High income,PAHO,Latin America & Caribbean,1,0.5,0.5,0.5,0,1,1,0,0,0.5,0,0.5,0,0,0,0.5,1,DK,1,8
Tunisia,TUN,Lower middle income,EMRO,Middle East & North Africa,1,0.5,1,1,0.5,0,0.5,0.5,0.5,0.5,NR,0,1,1,0,0.5,0.5,0,0,9
Turkey,TUR,Upper middle income,EURO,Europe & Central Asia,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1,1,1,0.5,1,0.5,1,17
Turkmenistan,TKM,Upper middle income,EURO,Europe & Central Asia,1,1,1,1,0,1,1,0.5,1,1,1,1,0.5,1,1,0.5,1,1,0.5,16
Tuvalu,TUV,Upper middle income,WPRO,East Asia & Pacific,0.5,0,0.5,0,0,0.5,0.5,1,0,NR,NR,NR,0,0,0,0,0.5,0.5,1,5
Uganda,UGA,Low income,AFRO,Sub-Saharan Africa,0,0,1,0,0,1,0.5,1,0.5,0.5,0,1,0,0,0,1,1,1,0,8.5
Ukraine,UKR,Lower middle income,EURO,Europe & Central Asia,1,1,1,1,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0,0,0,0.5,1,1,0.5,12
United Arab Emirates,ARE,High income,EMRO,Middle East & North Africa,1,0.5,1,1,0.5,0.5,0.5,1,0,0.5,1,0,1,1,0,0.5,1,1,1,13
United Kingdom,GBR,High income,EURO,Europe & Central Asia,0.5,1,1,1,1,1,1,0.5,1,NR,0,0.5,1,1,1,0.5,1,1,1,15
United Republic of Tanzania,TZA,Low income,AFRO,Sub-Saharan Africa,1,0,0.5,1,0,0,0.5,0.5,0,0.5,0,0.5,0,DK,0,1,0,1,0,6.5
United States of America,USA,High income,PAHO,North America,1,1,1,1,0,0,0.5,0,1,0.5,0,0.5,0.5,1,1,0,1,1,DK,11
Uruguay,URY,High income,PAHO,Latin America & Caribbean,1,1,0.5,1,0.5,1,1,1,NR,0.5,0,0,1,0.5,1,0.5,0,0.5,DK,11
Uzbekistan,UZB,Lower middle income,EURO,Europe & Central Asia,1,1,1,1,0,0,0.5,0.5,0,0.5,1,0.5,1,0.5,0,0.5,1,1,0,11
Vanuatu,VUT,Lower middle income,WPRO,East Asia & Pacific,1,0,0.5,1,0.5,0,1,1,0,1,0,1,0,0,0,0,0,0.5,0,7.5
Venezuela,VEN,Upper middle income,PAHO,Latin America & Caribbean,1,1,0.5,0,0.5,1,1,0,0,0.5,0,0.5,0,0,0,1,0.5,1,0,8.5
Viet Nam,VNM,Lower middle income,WPRO,East Asia & Pacific,1,0,1,1,0,0.5,1,0.5,1,0.5,0.5,0.5,1,0,0,1,1,1,0,11.5
Yemen,YEM,Low income,EMRO,Middle East & North Africa,0,0,0,0,0.5,0.5,0.5,1,0.5,1,1,1,0,0,0,1,0,0,0,7
Zambia,ZMB,Lower middle income,AFRO,Sub-Saharan Africa,0,0,0.5,0,0,0.5,0,0,0,1,0,0,0,0,0,0.5,1,1,0,4.5
Zimbabwe,ZWE,Lower middle income,AFRO,Sub-Saharan Africa,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,1,0,0.5,0,2.5
